Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
1,601,14.9,0.15,0.843,0.87,44.4,21.9,2.985,2794322,1165738
2,217,39.7,0.4,0.842,0.89,115.9,58.9,2.921,2815498,1188079
3,1063,157.8,1.58,0.841,0.907,462.8,238.7,2.933,2814125,1188125
4,1070,167.2,1.67,0.829,0.895,489.0,252.0,2.925,2810021,1185907
5,690,10.0,0.1,0.827,0.87,28.7,13.6,2.872,2748087,1160680
6,1061,278.1,2.78,0.826,0.898,801.2,404.6,2.881,2817267,1189739
7,549,18.1,0.18,0.825,0.861,53.1,25.9,2.941,2795781,1168507
8,638,233.4,2.33,0.824,0.874,675.8,328.0,2.895,2788295,1163101
9,305,187.0,1.87,0.823,0.892,553.1,287.3,2.958,2798738,1182568
10,678,117.8,1.18,0.821,0.903,340.8,165.7,2.892,2703159,1160459
11,646,13.4,0.13,0.821,0.871,39.3,18.7,2.925,2791805,1163489
12,743,106.1,1.06,0.821,0.89,314.5,158.7,2.964,2737657,1158442
13,388,20.2,0.2,0.819,0.886,58.0,30.3,2.867,2803624,1178227
14,544,28.2,0.28,0.817,0.863,82.2,40.3,2.917,2696586,1168731
15,80,194.0,1.94,0.817,0.882,562.3,288.3,2.899,2827541,1198341
16,1087,181.5,1.82,0.817,0.892,531.5,261.4,2.928,2706852,1175649
17,745,20.6,0.21,0.817,0.862,59.2,28.1,2.872,2744407,1158688
18,465,137.9,1.38,0.817,0.911,403.5,201.3,2.925,2702104,1172923
19,837,115.9,1.16,0.817,0.864,334.1,159.8,2.883,2781488,1152161
20,1105,241.0,2.41,0.817,0.879,709.3,353.5,2.943,2786125,1163056
21,543,43.9,0.44,0.816,0.877,124.4,58.5,2.832,2777938,1168471
22,1064,139.6,1.4,0.816,0.899,408.7,211.8,2.927,2812732,1187897
23,1060,147.8,1.48,0.815,0.884,429.8,218.7,2.908,2819742,1191158
24,232,11.9,0.12,0.815,0.842,33.7,15.9,2.827,2735806,1187182
25,91,76.1,0.76,0.814,0.857,208.1,98.6,2.736,2785640,1197468
26,259,26.1,0.26,0.813,0.847,71.8,32.6,2.756,2729655,1185280
27,836,17.3,0.17,0.813,0.858,48.6,22.4,2.809,2783008,1152986
28,756,61.1,0.61,0.813,0.89,181.5,93.6,2.972,2736454,1158060
29,1075,246.4,2.46,0.813,0.874,703.7,332.9,2.856,2719318,1181203
30,225,208.5,2.08,0.812,0.895,627.7,334.8,3.011,2808503,1186940
31,814,12.3,0.12,0.811,0.866,35.5,17.4,2.883,2788256,1154160
32,576,18.2,0.18,0.811,0.876,54.3,27.3,2.973,2705933,1167059
33,533,18.2,0.18,0.81,0.867,53.3,26.8,2.931,2796339,1169429
34,187,18.2,0.18,0.81,0.838,50.5,24.4,2.777,2819983,1190226
35,459,69.1,0.69,0.81,0.89,203.1,101.2,2.939,2704253,1174089
36,216,238.8,2.39,0.81,0.879,684.2,341.6,2.865,2787323,1187855
37,483,218.5,2.18,0.81,0.911,618.3,300.9,2.83,2699780,1172277
38,154,239.9,2.4,0.81,0.898,713.4,374.8,2.974,2815791,1190977
39,872,49.4,0.49,0.809,0.873,136.0,63.3,2.752,2736147,1147747
40,92,10.9,0.11,0.809,0.84,30.2,14.8,2.758,2828616,1197680
41,763,118.6,1.19,0.809,0.876,342.3,164.8,2.887,2735879,1156637
42,734,10.6,0.11,0.809,0.851,30.7,15.0,2.889,2702660,1159125
43,640,11.3,0.11,0.808,0.856,31.6,14.4,2.795,2730951,1163671
44,644,78.8,0.79,0.808,0.885,223.9,109.5,2.841,2780595,1163359
45,759,65.8,0.66,0.808,0.86,186.4,87.0,2.832,2785382,1157826
46,242,20.4,0.2,0.808,0.853,55.1,24.7,2.694,2729125,1186426
47,1069,194.6,1.95,0.807,0.892,551.5,274.6,2.835,2808121,1185406
48,765,113.3,1.13,0.806,0.873,325.9,152.6,2.876,2733952,1156553
49,579,28.1,0.28,0.805,0.881,81.4,39.6,2.895,2700476,1166814
